Timestamp,Temperature (in Celsius),Pressure (in MPa)
16:22:27,32.25,0.107
16:22:27,32.25,0.109
16:22:28,32.31,0.107
16:22:28,32.31,0.105
16:22:29,32.31,0.105
16:22:29,32.31,0.108
16:22:30,32.38,0.108
16:22:30,32.38,0.107
16:22:31,32.38,0.106
16:22:31,32.44,0.108
16:22:32,32.44,0.108
16:22:32,32.44,0.109
16:22:33,32.50,0.105
16:22:33,32.50,0.107
16:22:34,32.56,0.108
16:22:34,32.56,0.109
16:22:35,32.63,0.105
16:22:35,32.63,0.108
16:22:36,32.63,0.109
16:22:36,32.69,0.106
16:22:37,32.69,0.107
16:22:37,32.75,0.108
16:22:37,32.75,0.106
16:22:38,32.75,0.107
16:22:38,32.81,0.109
16:22:39,32.81,0.109
16:22:39,32.88,0.107
16:22:40,32.88,0.107
16:22:40,32.94,0.109
16:22:41,32.94,0.106
16:22:41,32.94,0.107
16:22:42,33.00,0.105
16:22:42,33.00,0.109
16:22:43,33.00,0.108
16:22:43,33.06,0.109
16:22:44,33.06,0.105
16:22:44,33.13,0.105
16:22:45,33.19,0.106
16:22:45,33.19,0.107
16:22:46,33.19,0.107
16:22:46,33.25,0.107
16:22:47,33.31,0.107
16:22:47,33.31,0.109
16:22:48,33.31,0.108
16:22:48,33.31,0.108
16:22:49,33.38,0.108
16:22:49,33.38,0.107
16:22:50,33.44,0.108
16:22:50,33.44,0.108
16:22:50,33.50,0.107
16:22:51,33.56,0.106
16:22:51,33.56,0.104
16:22:52,33.56,0.105
16:22:52,33.56,0.106
16:22:53,33.63,0.110
16:22:53,33.63,0.105
16:22:54,33.69,0.109
16:22:54,33.69,0.107
16:22:55,33.69,0.107
16:22:55,33.69,0.109
16:22:56,33.75,0.108
16:22:56,33.81,0.108
16:22:57,33.81,0.107
16:22:57,33.88,0.107
16:22:58,33.88,0.106
16:22:58,33.94,0.108
16:22:59,33.94,0.107
16:22:59,33.94,0.107
16:23:00,34.00,0.108
16:23:00,34.00,0.107
16:23:01,34.06,0.109
16:23:01,34.06,0.105
16:23:02,34.13,0.110
16:23:02,34.13,0.108
16:23:02,34.19,0.103
16:23:03,34.19,0.109
16:23:03,34.19,0.108
16:23:04,34.25,0.108
16:23:04,34.25,0.105
16:23:05,34.31,0.108
16:23:05,34.31,0.108
16:23:06,34.31,0.109
16:23:06,34.38,0.109
16:23:07,34.38,0.109
16:23:07,34.44,0.108
16:23:08,34.44,0.109
16:23:08,34.44,0.108
16:23:09,34.50,0.109
16:23:09,34.56,0.106
16:23:10,34.56,0.105
16:23:10,34.63,0.109
16:23:11,34.63,0.108
16:23:11,34.63,0.108
16:23:12,34.63,0.108
16:23:12,34.69,0.108
16:23:13,34.69,0.109
16:23:13,34.75,0.106
16:23:14,34.75,0.110
16:23:14,34.81,0.108
16:23:15,34.81,0.107
16:23:15,34.81,0.108
16:23:15,34.88,0.109
16:23:16,34.94,0.108
16:23:16,34.94,0.107
16:23:17,34.94,0.109
16:23:17,35.00,0.111
16:23:18,35.00,0.111
16:23:18,35.06,0.109
16:23:19,35.13,0.107
16:23:19,35.13,0.106
16:23:20,35.19,0.105
16:23:20,35.19,0.107
16:23:21,35.19,0.109
16:23:21,35.19,0.109
16:23:22,35.25,0.105
16:23:22,35.25,0.105
16:23:23,35.31,0.108
16:23:23,35.31,0.109
16:23:24,35.38,0.109
16:23:24,35.44,0.108
16:23:25,35.38,0.108
16:23:25,35.44,0.110
16:23:26,35.50,0.111
16:23:26,35.50,0.107
16:23:27,35.50,0.111
16:23:27,35.56,0.109
16:23:28,35.56,0.110
16:23:28,35.63,0.109
16:23:29,35.63,0.105
16:23:29,35.63,0.105
16:23:29,35.69,0.108
16:23:30,35.69,0.105
16:23:30,35.75,0.109
16:23:31,35.75,0.109
16:23:31,35.81,0.109
16:23:32,35.88,0.105
16:23:32,35.88,0.109
16:23:33,35.94,0.108
16:23:33,35.94,0.106
16:23:34,36.00,0.109
16:23:34,36.00,0.106
16:23:35,36.06,0.107
16:23:35,36.06,0.108
16:23:36,36.06,0.108
16:23:36,36.13,0.109
16:23:37,36.13,0.109
16:23:37,36.13,0.110
16:23:38,36.25,0.109
16:23:38,36.25,0.109
16:23:39,36.25,0.109
16:23:39,36.25,0.108
16:23:40,36.31,0.107
16:23:40,36.31,0.107
16:23:41,36.38,0.109
16:23:41,36.44,0.109
16:23:42,36.44,0.109
16:23:42,36.50,0.109
16:23:42,36.50,0.108
16:23:43,36.50,0.106
16:23:43,36.56,0.110
16:23:44,36.63,0.108
16:23:44,36.63,0.107
16:23:45,36.63,0.108
16:23:45,36.69,0.109
16:23:46,36.75,0.107
16:23:46,36.75,0.107
16:23:47,36.81,0.107
16:23:47,36.81,0.109
16:23:48,36.81,0.109
16:23:48,36.88,0.108
16:23:49,36.94,0.105
16:23:49,36.94,0.109
16:23:50,37.00,0.107
16:23:50,37.06,0.110
16:23:51,37.06,0.108
16:23:51,37.13,0.108
16:23:52,37.13,0.108
16:23:52,37.19,0.109
16:23:53,37.19,0.109
16:23:53,37.25,0.108
16:23:54,37.25,0.110
16:23:54,37.31,0.113
16:23:55,37.38,0.110
16:23:55,37.38,0.107
16:23:55,37.44,0.111
16:23:56,37.44,0.107
16:23:56,37.44,0.109
16:23:57,37.50,0.108
16:23:57,37.50,0.111
16:23:58,37.56,0.109
16:23:58,37.56,0.108
16:23:59,37.63,0.108
16:23:59,37.63,0.108
16:24:00,37.69,0.111
16:24:00,37.69,0.108
16:24:01,37.75,0.109
16:24:01,37.75,0.108
16:24:02,37.81,0.109
16:24:02,37.88,0.106
16:24:03,37.88,0.108
16:24:03,37.81,0.107
16:24:04,37.88,0.110
16:24:04,37.94,0.109
16:24:05,38.00,0.107
16:24:05,38.00,0.107
16:24:06,38.06,0.107
16:24:06,38.13,0.111
16:24:07,38.13,0.108
16:24:07,38.13,0.109
16:24:08,38.13,0.108
16:24:08,38.19,0.109
16:24:09,38.19,0.109
16:24:09,38.19,0.108
16:24:09,38.31,0.106
16:24:10,38.31,0.111
16:24:10,38.31,0.108
16:24:11,38.31,0.108
16:24:11,38.38,0.110
16:24:12,38.44,0.109
16:24:12,38.50,0.109
16:24:13,38.50,0.108
16:24:13,38.50,0.110
16:24:14,38.56,0.108
16:24:14,38.56,0.111
16:24:15,38.63,0.109
16:24:15,38.63,0.107
16:24:16,38.69,0.107
16:24:16,38.69,0.109
16:24:17,38.75,0.107
16:24:17,38.75,0.107
16:24:18,38.81,0.108
16:24:18,38.81,0.109
16:24:19,38.88,0.109
16:24:19,38.88,0.108
16:24:20,38.94,0.107
16:24:20,39.00,0.113
16:24:21,39.00,0.108
16:24:21,39.06,0.107
16:24:22,39.06,0.109
16:24:22,39.13,0.109
16:24:22,39.13,0.111
16:24:23,39.19,0.108
16:24:23,39.19,0.109
16:24:24,39.25,0.109
16:24:24,39.31,0.109
16:24:25,39.38,0.107
16:24:25,39.38,0.109
16:24:26,39.44,0.107
16:24:26,39.44,0.108
16:24:27,39.50,0.108
16:24:27,39.50,0.109
16:24:28,39.50,0.109
16:24:28,39.56,0.113
16:24:29,39.63,0.111
16:24:29,39.63,0.109
16:24:30,39.69,0.109
16:24:30,39.75,0.109
16:24:31,39.75,0.112
16:24:31,39.81,0.109
16:24:32,39.81,0.107
16:24:32,39.88,0.109
16:24:33,39.88,0.111
16:24:33,39.94,0.109
16:24:34,39.94,0.107
16:24:34,40.06,0.108
16:24:35,40.06,0.109
16:24:35,40.06,0.109
16:24:36,40.13,0.109
16:24:36,40.19,0.109
16:24:36,40.25,0.107
16:24:37,40.25,0.111
16:24:37,40.31,0.111
16:24:38,40.31,0.111
16:24:38,40.31,0.108
16:24:39,40.38,0.109
16:24:39,40.44,0.108
16:24:40,40.44,0.109
16:24:40,40.50,0.111
16:24:41,40.50,0.109
16:24:41,40.56,0.109
16:24:42,40.63,0.110
16:24:42,40.69,0.109
16:24:43,40.69,0.109
16:24:43,40.75,0.107
16:24:44,40.75,0.107
16:24:44,40.81,0.109
16:24:45,40.88,0.109
16:24:45,40.94,0.109
16:24:46,40.94,0.109
16:24:46,40.94,0.108
16:24:47,41.00,0.110
16:24:47,41.06,0.111
16:24:48,41.13,0.111
16:24:48,41.13,0.113
16:24:49,41.13,0.109
16:24:49,41.25,0.109
16:24:50,41.25,0.108
16:24:50,41.31,0.109
16:24:50,41.31,0.112
16:24:51,41.38,0.111
16:24:51,41.38,0.107
16:24:52,41.44,0.111
16:24:52,41.50,0.111
16:24:53,41.50,0.107
16:24:53,41.56,0.107
16:24:54,41.63,0.110
16:24:54,41.69,0.109
16:24:55,41.69,0.111
16:24:55,41.75,0.107
16:24:56,41.75,0.109
16:24:56,41.81,0.112
16:24:57,41.81,0.111
16:24:57,41.88,0.111
16:24:58,41.94,0.109
16:24:58,41.94,0.109
16:24:59,42.00,0.110
16:24:59,42.06,0.109
16:25:00,42.06,0.109
16:25:00,42.13,0.115
16:25:01,42.13,0.108
16:25:01,42.19,0.109
16:25:02,42.25,0.108
16:25:02,42.31,0.109
16:25:03,42.31,0.109
16:25:03,42.31,0.113
16:25:04,42.44,0.107
16:25:04,42.50,0.109
16:25:04,42.50,0.109
16:25:05,42.50,0.109
16:25:05,42.56,0.110
16:25:06,42.63,0.110
16:25:06,42.69,0.113
16:25:07,42.69,0.112
16:25:07,42.75,0.112
16:25:08,42.75,0.110
16:25:08,42.81,0.109
16:25:09,42.88,0.111
16:25:09,42.88,0.109
16:25:10,42.94,0.109
16:25:10,43.00,0.109
16:25:11,43.06,0.109
16:25:11,43.06,0.113
16:25:12,43.13,0.109
16:25:12,43.19,0.111
16:25:13,43.19,0.110
16:25:13,43.25,0.109
16:25:14,43.31,0.111
16:25:14,43.38,0.111
16:25:15,43.38,0.111
16:25:15,43.44,0.113
16:25:16,43.44,0.109
16:25:16,43.50,0.110
16:25:17,43.56,0.109
16:25:17,43.63,0.109
16:25:18,43.63,0.112
16:25:18,43.69,0.109
16:25:18,43.75,0.112
16:25:19,43.75,0.110
16:25:19,43.81,0.109
16:25:20,43.88,0.113
16:25:20,43.88,0.111
16:25:21,43.94,0.112
16:25:21,44.00,0.114
16:25:22,44.00,0.111
16:25:22,44.06,0.110
16:25:23,44.13,0.113
16:25:23,44.13,0.110
16:25:24,44.19,0.115
16:25:24,44.19,0.112
16:25:25,44.25,0.109
16:25:25,44.31,0.109
16:25:26,44.31,0.110
16:25:26,44.38,0.113
16:25:27,44.44,0.114
16:25:27,44.50,0.115
16:25:28,44.50,0.109
16:25:28,44.50,0.110
16:25:29,44.63,0.113
16:25:29,44.63,0.112
16:25:30,44.69,0.115
16:25:30,44.75,0.115
16:25:31,44.81,0.113
16:25:31,44.81,0.111
16:25:32,44.81,0.112
16:25:32,44.94,0.110
16:25:33,44.94,0.113
16:25:33,45.00,0.110
16:25:33,45.06,0.113
16:25:34,45.06,0.112
16:25:34,45.13,0.113
16:25:35,45.19,0.112
16:25:35,45.25,0.114
16:25:36,45.25,0.113
16:25:36,45.31,0.109
16:25:37,45.38,0.115
16:25:37,45.44,0.111
16:25:38,45.50,0.111
16:25:38,45.50,0.114
16:25:39,45.56,0.111
16:25:39,45.63,0.113
16:25:40,45.69,0.116
16:25:40,45.75,0.115
16:25:41,45.81,0.115
16:25:41,45.81,0.115
16:25:42,45.88,0.114
16:25:42,45.94,0.115
16:25:43,46.00,0.113
16:25:43,46.06,0.110
16:25:44,46.06,0.114
16:25:44,46.13,0.114
16:25:45,46.19,0.114
16:25:45,46.25,0.114
16:25:46,46.25,0.115
16:25:46,46.31,0.114
16:25:47,46.38,0.114
16:25:47,46.44,0.115
16:25:48,46.50,0.114
16:25:48,46.56,0.118
16:25:48,46.63,0.114
16:25:49,46.63,0.115
16:25:49,46.69,0.115
16:25:50,46.75,0.116
16:25:50,46.81,0.114
16:25:51,46.81,0.118
16:25:51,46.88,0.116
16:25:52,46.94,0.115
16:25:52,46.94,0.112
16:25:53,47.00,0.115
16:25:53,47.06,0.115
16:25:54,47.06,0.116
16:25:54,47.13,0.115
16:25:55,47.19,0.116
16:25:55,47.25,0.116
16:25:56,47.31,0.115
16:25:56,47.31,0.115
16:25:57,47.38,0.119
16:25:57,47.44,0.116
16:25:58,47.44,0.113
16:25:58,47.50,0.116
16:25:59,47.56,0.116
16:25:59,47.56,0.116
16:26:00,47.69,0.120
16:26:00,47.69,0.119
16:26:01,47.75,0.114
16:26:01,47.81,0.116
16:26:02,47.88,0.118
16:26:02,47.94,0.119
16:26:03,47.94,0.118
16:26:03,48.00,0.118
16:26:03,48.06,0.121
16:26:04,48.13,0.116
16:26:04,48.13,0.119
16:26:05,48.25,0.118
16:26:05,48.25,0.120
16:26:06,48.31,0.119
16:26:06,48.38,0.122
16:26:07,48.44,0.119
16:26:07,48.44,0.119
16:26:08,48.50,0.122
16:26:08,48.56,0.119
16:26:09,48.63,0.121
16:26:09,48.69,0.121
16:26:10,48.75,0.118
16:26:10,48.81,0.121
16:26:11,48.81,0.119
16:26:11,48.94,0.117
16:26:12,48.94,0.120
16:26:12,49.00,0.119
16:26:13,49.06,0.121
16:26:13,49.13,0.118
16:26:14,49.19,0.119
16:26:14,49.19,0.120
16:26:15,49.25,0.123
16:26:15,49.31,0.119
16:26:16,49.38,0.121
16:26:16,49.38,0.119
16:26:17,49.44,0.123
16:26:17,49.50,0.118
16:26:18,49.56,0.125
16:26:18,49.63,0.123
16:26:18,49.69,0.121
16:26:19,49.75,0.118
16:26:19,49.81,0.121
16:26:20,49.88,0.121
16:26:20,49.88,0.121
16:26:21,49.94,0.121
16:26:21,50.00,0.120
16:26:22,50.06,0.123
16:26:22,50.06,0.123
16:26:23,50.19,0.120
16:26:23,50.19,0.118
16:26:24,50.25,0.120
16:26:24,50.31,0.120
16:26:25,50.38,0.125
16:26:25,50.44,0.122
16:26:26,50.50,0.122
16:26:26,50.56,0.122
16:26:27,50.63,0.121
16:26:27,50.69,0.124
16:26:28,50.75,0.123
16:26:28,50.75,0.121
16:26:29,50.81,0.123
16:26:29,50.88,0.122
16:26:30,50.94,0.123
16:26:30,51.00,0.123
16:26:31,51.06,0.126
16:26:31,51.13,0.123
16:26:32,51.19,0.123
16:26:32,51.25,0.123
16:26:33,51.25,0.126
16:26:33,51.31,0.124
16:26:34,51.38,0.123
16:26:34,51.44,0.124
16:26:35,51.50,0.127
16:26:35,51.56,0.123
16:26:35,51.63,0.123
16:26:36,51.69,0.124
16:26:36,51.75,0.125
16:26:37,51.81,0.124
16:26:37,51.88,0.122
16:26:38,51.94,0.127
16:26:38,52.00,0.124
16:26:39,52.06,0.125
16:26:39,52.13,0.128
16:26:40,52.19,0.125
16:26:40,52.19,0.123
16:26:41,52.31,0.126
16:26:41,52.38,0.125
16:26:42,52.44,0.125
16:26:42,52.44,0.125
16:26:43,52.50,0.127
16:26:43,52.56,0.123
16:26:44,52.63,0.126
16:26:44,52.69,0.127
16:26:45,52.75,0.128
16:26:45,52.75,0.126
16:26:46,52.81,0.125
16:26:46,52.94,0.125
16:26:47,53.00,0.121
16:26:47,53.00,0.127
16:26:48,53.13,0.126
16:26:48,53.19,0.127
16:26:49,53.25,0.126
16:26:49,53.25,0.125
16:26:50,53.38,0.126
16:26:50,53.38,0.129
16:26:51,53.44,0.131
16:26:51,53.50,0.129
16:26:52,53.56,0.129
16:26:52,53.69,0.127
16:26:52,53.69,0.127
16:26:53,53.75,0.126
16:26:53,53.81,0.131
16:26:54,53.88,0.126
16:26:54,53.94,0.129
16:26:55,54.00,0.131
16:26:55,54.13,0.127
16:26:56,54.13,0.127
16:26:56,54.25,0.127
16:26:57,54.25,0.129
16:26:57,54.31,0.128
16:26:58,54.38,0.129
